ID,FirstName,LastName,DateOfBirth,Tags,Biography,Biography #2
1001,Jorge,Ramirez-Ortiz,1/27/1999,"Student, Undergraduate, Physics, Optics, Computer Simulations",test,
1002,Monserrat,Bizarro,1/28/1999,"Student, Undergraduate, Physics, Optics, Computer Simulations",test,
1003,Juan Carlos,Diaz-Velez,1/29/1999,"Student, Undergraduate, Physics, Optics, Computer Simulations",test,
1004,Flavio,Fenton,1/30/1999,"Student, Undergraduate, Physics, Optics, Computer Simulations",test,
1005,Karina,Jimenez Garcia,1/31/1999,"Student, Undergraduate, Physics, Optics, Computer Simulations",test,
1006,Neil,Corzo Trejo,2/1/1999,"Student, Undergraduate, Physics, Optics, Computer Simulations",test,
1007,Antonio,Porras,2/2/1999,"Student, Undergraduate, Physics, Optics, Computer Simulations",test,
1008,Nieves,Ramos Rivera,2/3/1999,"Student, Undergraduate, Physics, Optics, Computer Simulations",test,
1009,Ambar,Rodriguez Alicea,2/4/1999,"Student, Undergraduate, Physics, Optics, Computer Simulations",test,
1010,Ruben,Rojas,2/5/1999,"Student, Undergraduate, Physics, Optics, Computer Simulations",test,
1011,Katerine,Saleme,2/6/1999,"Student, Undergraduate, Physics, Optics, Computer Simulations",test,
1012,Tonatiuh,Sanchez,2/7/1999,"Student, Undergraduate, Physics, Optics, Computer Simulations",test,
1013,Ana,Valdés Curiel,2/8/1999,"Student, Undergraduate, Physics, Optics, Computer Simulations",test,
1014,Desiré,Whitmore,2/9/1999,"Student, Undergraduate, Physics, Optics, Computer Simulations",test,
  ,,,,,,
